key,en,selector,type,attr
"profile.maincopy.ctl32.uceducationeditoradd.lblschool.school","School","#MainCopy_ctl32_ucEducationEditorAdd_lblSchool","text",""
"profile.maincopy.ctl32.uceducationeditoradd.requiredfieldvalidator1.please-enter-school-name","Please enter school name.","#MainCopy_ctl32_ucEducationEditorAdd_RequiredFieldValidator1","text",""
"profile.maincopy.ctl32.uceducationeditoradd.lbldegree.degree","Degree","#MainCopy_ctl32_ucEducationEditorAdd_lblDegree","text",""
"profile.maincopy.ctl32.uceducationeditoradd.lbldegreeyear.degree-year","Degree Year","#MainCopy_ctl32_ucEducationEditorAdd_lblDegreeYear","text",""
"profile.maincopy.ctl32.uceducationeditoradd.rangevalidator1.please-enter-a-valid","Please enter a valid year","#MainCopy_ctl32_ucEducationEditorAdd_RangeValidator1","text",""
"profile.maincopy.ctl32.uceducationeditoradd.lblfstudy.field-s-of-study","Field(s) of Study","#MainCopy_ctl32_ucEducationEditorAdd_lblFStudy","text",""
"profile.maincopy.ctl32.uceducationeditoradd.lbldates.dates-attended","Dates Attended","#MainCopy_ctl32_ucEducationEditorAdd_lblDates","text",""
"profile.maincopy.ctl32.uceducationeditoradd.ucyearlistfromto.cvfromtovalues.end-year-must-be","End year must be greater than or equal to start year","#MainCopy_ctl32_ucEducationEditorAdd_ucYearListFromTo_cvFromToValues","text",""
"profile.ctl00.maincopy.ctl32.edititemdetails.ctl00.pnlediteducationmodal.edit-existing-education","Edit Existing Education","#ctl00_MainCopy_ctl32_EditItemDetails_ctl00_pnlEditEducationModal","text",""
"profile.maincopy.ctl35.titletext.honors-and-awards","Honors and Awards","#MainCopy_ctl35_TitleText","text",""
"profile.maincopy.ctl35.additempanel.add-new-honors-and","Add New Honors And Awards","#MainCopy_ctl35_AddItemPanel","text",""
"profile.maincopy.ctl35.acronylabel.acronym","Acronym","#MainCopy_ctl35_AcronyLabel","text",""
"profile.ctl00.maincopy.ctl35.edititemdetails.ctl00.pnledithornorandawards.edit-existing-honors-and","Edit Existing Honors And Awards","#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_pnlEditHornorAndAwards","text",""
"profile.ctl00.maincopy.ctl35.edititemdetails.ctl00.label1.award","Award","#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_Label1","text",""
"profile.ctl00.maincopy.ctl35.edititemdetails.ctl00.requiredfieldvalidator2.please-enter-award","Please enter award","#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_RequiredFieldValidator2","text",""
"profile.ctl00.maincopy.ctl35.edititemdetails.ctl00.label2.award-organization-and-acronym","Award Organization and Acronym","#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_Label2","text",""
"profile.ctl00.maincopy.ctl35.edititemdetails.ctl00.label3.year-s","Year(s)","#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_Label3","text",""
"profile.ctl00.maincopy.ctl35.edititemdetails.ctl00.yearsvalidatorrepeat.enter-comma-separated-years","Enter comma separated years only","#ctl00_MainCopy_ctl35_EditItemDetails_ctl00_YearsValidatorRepeat","text",""
"profile.searchtoggleicon.searchtoggle@aria-label","searchToggle","#SearchToggleIcon","attr","aria-label"
"common.search-box@aria-label","Search Box","#SearchControl_SearchTerm","attr","aria-label"
"common.search@aria-label","search","#SearchControl_SearchButton","attr","aria-label"
"profile.maincopy.ctl21.btnedit.edit-user-name@aria-label","Edit User Name","#MainCopy_ctl21_btnEdit","attr","aria-label"
"common.close@aria-label","Close","","attr","aria-label"
"profile.el.actions-collapsed-press-space@aria-label","Actions, collapsed, press space to expand.","","attr","aria-label"
"profile.maincopy.ctl10.lnkeditcontact.edit-contact-details@aria-label","edit contact details","#MainCopy_ctl10_lnkEditContact","attr","aria-label"
"profile.el.staff@aria-label","Staff","","attr","aria-label"
"profile.maincopy.ctl27.connectionslink.my-connections-collapsed-use@aria-label","My Connections, collapsed, use ALT + ARROW keys","#MainCopy_ctl27_ConnectionsLink","attr","aria-label"
"profile.maincopy.ctl27.contributionslink.my-contributions-collapsed-use@aria-label","My Contributions, collapsed, use ALT + ARROW keys","#MainCopy_ctl27_ContributionsLink","attr","aria-label"
"profile.maincopy.ctl29.lnkbtn.edit.edit-bio-information@aria-label","edit bio information","#MainCopy_ctl29_lnkBtn_Edit","attr","aria-label"
"profile.maincopy.ctl10.uccountrystateprovincelist.ddlcountry.select-a-country@title","Select a Country","#MainCopy_ctl10_ucCountryStateProvinceList_ddlCountry","attr","title"
"profile.maincopy.ctl10.uccountrystateprovincelist.ddlstate.select-a-state@title","Select a State","#MainCopy_ctl10_ucCountryStateProvinceList_ddlState","attr","title"
"profile.el.assigned-to-staff-members@title","Assigned to staff members of the organization.","","attr","title"
"profile.el.profile-starter@title","Profile Starter","","attr","title"
"profile.el.profile-expert@title","Profile Expert","","attr","title"
"profile.maincopy.ctl21.txtprefix.prefix@title","Prefix","#MainCopy_ctl21_txtPrefix","attr","title"
"profile.maincopy.ctl21.txtfirstname.first-name@title","First Name","#MainCopy_ctl21_txtFirstName","attr","title"
"profile.maincopy.ctl21.txtlastname.last-name@title","Last Name","#MainCopy_ctl21_txtLastName","attr","title"
"profile.maincopy.ctl21.txtsuffix.suffix@title","Suffix","#MainCopy_ctl21_txtSuffix","attr","title"
"profile.maincopy.ctl21.txtdesignation.designation@title","Designation","#MainCopy_ctl21_txtDesignation","attr","title"
"profile.maincopy.ctl21.txtpronouns.pronouns@title","Pronouns","#MainCopy_ctl21_txtPronouns","attr","title"
"profile.maincopy.ctl32.uceducationeditoradd.txtcity.city@title","City","#MainCopy_ctl32_ucEducationEditorAdd_txtCity","attr","title"
"profile.maincopy.ctl32.uceducationeditoradd.txtschool.name-of-the-school@title","Name of the School","#MainCopy_ctl32_ucEducationEditorAdd_txtSchool","attr","title"
"profile.maincopy.ctl32.uceducationeditoradd.txtdegree.name-of-the-degree@title","Name of the Degree","#MainCopy_ctl32_ucEducationEditorAdd_txtDegree","attr","title"
"profile.maincopy.ctl32.uceducationeditoradd.degreeyeartextbox.degree-year@title","Degree Year","#MainCopy_ctl32_ucEducationEditorAdd_DegreeYearTextBox","attr","title"
"profile.maincopy.ctl32.uceducationeditoradd.txtfstudy.field-of-study@title","Field of Study","#MainCopy_ctl32_ucEducationEditorAdd_txtFStudy","attr","title"
"profile.maincopy.ctl32.uceducationeditoradd.txtdissertation.dissertation@title","Dissertation","#MainCopy_ctl32_ucEducationEditorAdd_txtDissertation","attr","title"
"profile.maincopy.ctl32.uceducationeditoradd.txtadvisor.advisor@title","Advisor","#MainCopy_ctl32_ucEducationEditorAdd_txtAdvisor","attr","title"
"profile.ctl00.maincopy.ctl32.edititemdetails.ctl00.edit.edit@title","Edit","#ctl00_MainCopy_ctl32_EditItemDetails_ctl00_Edit","attr","title"
"profile.ctl00.maincopy.ctl32.edititemdetails.ctl00.delete.delete@title","Delete","#ctl00_MainCopy_ctl32_EditItemDetails_ctl00_Delete","attr","title"
"profile.maincopy.ctl29.tmcesummary.tinymcecontent.bsmediaobjectmodal.hypuploadthumbnail.select-image@title","select image","#MainCopy_ctl29_tmceSummary_TinyMCEContent-bsMediaObjectModal-hypUploadThumbnail","attr","title"
"profile.el.change@title","Change","","attr","title"
"common.save@value","Save","#MainCopy_ctl10_btnSave","attr","value"
"common.cancel@value","Cancel","#MainCopy_ctl10_lnkCancel","attr","value"
"common.submit@value","Submit","#MainCopy_ctl10_EnterPasswordModal_SubmitEnterPasswordBtn","attr","value"
